40.4,2.0289e-07,40.4,1.9818e-07,40.4,1.9289e-07,40.4,1.9021e-07
40.5,2.0329e-07,40.5,1.985e-07,40.5,1.9313e-07,40.5,1.9041e-07
40.6,2.0369e-07,40.6,1.9883e-07,40.6,1.9337e-07,40.6,1.9061e-07
40.7,2.041e-07,40.7,1.9916e-07,40.7,1.9362e-07,40.7,1.9082e-07
40.8,2.0452e-07,40.8,1.9949e-07,40.8,1.9387e-07,40.8,1.9103e-07
40.9,2.0494e-07,40.9,1.9983e-07,40.9,1.9412e-07,40.9,1.9124e-07
41,2.0536e-07,41,2.0018e-07,41,1.9438e-07,41,1.9145e-07
41.1,2.058e-07,41.1,2.0052e-07,41.1,1.9464e-07,41.1,1.9167e-07
41.2,2.0624e-07,41.2,2.0088e-07,41.2,1.949e-07,41.2,1.9189e-07
41.3,2.0668e-07,41.3,2.0124e-07,41.3,1.9517e-07,41.3,1.9211e-07
41.4,2.0713e-07,41.4,2.016e-07,41.4,1.9544e-07,41.4,1.9233e-07
41.5,2.0759e-07,41.5,2.0197e-07,41.5,1.9571e-07,41.5,1.9256e-07
41.6,2.0806e-07,41.6,2.0234e-07,41.6,1.9598e-07,41.6,1.9279e-07
41.7,2.0853e-07,41.7,2.0272e-07,41.7,1.9626e-07,41.7,1.9302e-07
41.8,2.09e-07,41.8,2.031e-07,41.8,1.9655e-07,41.8,1.9326e-07
41.9,2.0949e-07,41.9,2.0349e-07,41.9,1.9683e-07,41.9,1.935e-07
42,2.0998e-07,42,2.0388e-07,42,1.9713e-07,42,1.9374e-07
42.1,2.1048e-07,42.1,2.0428e-07,42.1,1.9742e-07,42.1,1.9398e-07
42.2,2.1099e-07,42.2,2.0469e-07,42.2,1.9772e-07,42.2,1.9423e-07
42.3,2.115e-07,42.3,2.051e-07,42.3,1.9802e-07,42.3,1.9448e-07
42.4,2.1202e-07,42.4,2.0551e-07,42.4,1.9832e-07,42.4,1.9473e-07
42.5,2.1255e-07,42.5,2.0593e-07,42.5,1.9863e-07,42.5,1.9499e-07
42.6,2.1308e-07,42.6,2.0636e-07,42.6,1.9895e-07,42.6,1.9525e-07
42.7,2.1363e-07,42.7,2.0679e-07,42.7,1.9926e-07,42.7,1.9551e-07
42.8,2.1418e-07,42.8,2.0723e-07,42.8,1.9959e-07,42.8,1.9578e-07
